MBTI,Manajemen Waktu,Kesulitan Fokus,MBTI Bantu Belajar,Jadwal Mingguan,Strategi Terencana,Belajar Jauh Hari,Gaya Belajar MBTI,Paham Kekuatan MBTI,Peningkatan IPK,Tahu Metode,Termotivasi,Pulihkan Motivasi,Belajar Kelompok,Bantu Pahami,Aktif Diskusi,Nyaman Sendiri,Peran Kelompok,MBTI & Interaksi,Dukungan Sosial,Strategi Ujian_Belajar jauh hari dengan jadwal terencana,Strategi Ujian_Belajar saat mendekati ujian,Strategi Ujian_Sistem kebut semalam (SKS),Strategi Ujian_Tidak punya strategi khusus,total_skor,Kategori_IPK
0,2,1,3,1,2,3,1,1,1,2,3,1,1,1,3,5,3,3,5,0.0,1.0,0.0,0.0,43.0,0
0,2,3,3,1,2,2,2,2,2,3,3,2,2,2,3,4,2,4,3,0.0,0.0,1.0,0.0,48.0,1
0,4,4,2,2,2,1,2,2,3,4,5,4,4,5,4,2,1,2,4,0.0,1.0,0.0,0.0,58.0,2
1,3,3,3,2,3,2,3,3,3,5,5,4,4,4,4,3,4,4,4,0.0,1.0,0.0,0.0,68.0,0
0,4,3,3,2,3,2,2,2,2,3,4,4,4,4,4,3,4,4,4,0.0,1.0,0.0,0.0,62.0,2
1,3,2,2,2,3,4,3,2,1,4,3,3,5,3,3,3,4,5,3,1.0,0.0,0.0,0.0,60.0,1
1,3,3,3,4,4,3,2,3,3,4,5,5,4,4,4,3,4,4,4,0.0,1.0,0.0,0.0,71.0,1
0,2,1,3,2,2,2,3,4,4,4,4,3,5,5,3,4,2,4,4,0.0,0.0,1.0,0.0,62.0,1
0,2,2,3,2,2,2,2,3,3,4,5,4,3,3,3,4,3,4,3,0.0,1.0,0.0,0.0,58.0,1
1,3,3,2,2,4,3,2,2,2,3,4,3,3,3,4,3,3,3,4,0.0,1.0,0.0,0.0,58.0,1
1,3,2,5,1,3,2,4,4,3,4,5,4,5,5,4,2,4,3,4,0.0,1.0,0.0,0.0,69.0,1
0,4,2,1,1,4,1,1,1,1,1,4,1,1,3,3,5,3,1,5,0.0,1.0,0.0,0.0,44.0,0
0,3,2,4,3,4,2,3,4,3,4,4,4,4,4,4,4,4,3,4,0.0,1.0,0.0,0.0,68.0,0
1,3,4,3,4,2,3,1,3,3,4,5,4,5,4,5,3,3,3,5,0.0,1.0,0.0,0.0,69.0,1
1,3,2,3,1,4,1,1,1,1,5,4,1,5,5,5,2,5,4,4,0.0,0.0,1.0,0.0,59.0,1
0,2,2,3,2,2,3,2,4,3,3,5,2,2,3,3,5,4,4,4,0.0,1.0,0.0,0.0,59.0,2
1,3,2,3,1,2,4,1,3,3,4,4,4,4,4,5,3,5,5,5,1.0,0.0,0.0,0.0,67.0,1
0,4,4,3,2,4,3,3,4,3,4,4,4,5,5,4,3,4,3,5,0.0,1.0,0.0,0.0,72.0,1
0,3,3,3,2,3,1,1,1,1,4,4,3,2,3,4,5,5,4,5,0.0,0.0,1.0,0.0,58.0,1
0,2,4,4,4,4,2,3,4,3,5,5,1,1,2,4,5,3,5,4,0.0,1.0,0.0,0.0,66.0,2
1,3,4,3,2,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,0.0,1.0,0.0,0.0,63.0,0
0,3,3,1,3,3,4,1,2,1,4,4,4,2,3,3,4,4,2,5,1.0,0.0,0.0,0.0,57.0,1
0,3,2,3,1,2,1,3,3,3,3,4,3,1,1,4,5,4,3,3,0.0,0.0,1.0,0.0,53.0,1
0,4,3,5,2,4,2,2,3,2,4,5,4,2,3,2,5,3,4,4,1.0,0.0,0.0,0.0,64.0,1
0,3,3,3,2,4,3,3,3,3,4,4,3,2,2,3,4,5,3,4,0.0,1.0,0.0,0.0,62.0,1
1,3,3,2,2,3,1,2,2,1,4,5,3,5,5,4,2,4,2,4,0.0,0.0,1.0,0.0,59.0,0
0,4,3,2,3,4,5,2,2,2,4,4,4,3,4,4,4,3,3,4,1.0,0.0,0.0,0.0,65.0,2
1,1,3,3,1,2,2,3,1,1,4,5,2,5,5,3,3,4,3,4,0.0,0.0,1.0,0.0,57.0,1
1,4,2,3,2,3,1,2,2,3,4,4,4,4,4,4,3,3,4,4,0.0,0.0,1.0,0.0,62.0,2
0,2,2,3,1,4,1,1,3,1,4,4,4,4,4,4,4,3,2,4,0.0,0.0,1.0,0.0,56.0,2
0,4,4,3,2,4,4,1,2,2,4,5,5,4,2,4,4,5,2,5,1.0,0.0,0.0,0.0,67.0,2
1,3,4,2,2,4,2,3,3,3,4,5,4,5,5,5,4,4,3,5,0.0,0.0,1.0,0.0,72.0,0
1,1,2,3,1,3,2,3,3,3,3,1,3,3,5,5,3,5,3,3,0.0,0.0,0.0,1.0,57.0,0
1,4,4,4,1,1,2,1,3,2,5,5,3,5,5,5,3,5,5,5,0.0,0.0,0.0,1.0,70.0,2
1,3,4,2,2,3,2,1,1,1,4,5,4,5,5,4,2,3,2,4,0.0,1.0,0.0,0.0,59.0,0
0,1,3,1,2,2,2,1,1,1,1,3,2,4,4,4,2,4,3,3,0.0,1.0,0.0,0.0,45.0,1
1,2,3,4,1,3,2,2,2,3,2,4,3,4,5,4,2,3,3,4,0.0,0.0,1.0,0.0,58.0,1
0,3,3,1,1,1,1,1,1,1,3,5,5,4,2,3,5,3,1,3,0.0,0.0,0.0,1.0,48.0,1
1,3,3,2,1,3,2,1,2,2,3,5,3,2,3,5,5,3,5,3,0.0,0.0,1.0,0.0,58.0,1
0,3,4,3,2,4,3,1,1,1,5,5,3,5,5,5,3,5,2,5,0.0,1.0,0.0,0.0,66.0,1
1,2,2,5,1,4,2,2,5,3,4,4,5,1,1,5,5,4,5,4,0.0,1.0,0.0,0.0,66.0,1
0,1,4,2,1,1,1,2,2,3,4,3,4,3,2,2,5,2,2,2,0.0,0.0,0.0,1.0,47.0,0
0,4,4,3,5,5,5,2,3,3,4,4,4,2,1,4,5,4,4,5,1.0,0.0,0.0,0.0,72.0,2
0,2,3,3,1,3,2,1,3,3,3,3,3,1,2,1,4,3,3,3,0.0,1.0,0.0,0.0,48.0,0
1,3,5,2,2,4,4,1,1,1,5,5,5,2,4,4,4,3,1,4,1.0,0.0,0.0,0.0,62.0,0
0,3,3,2,1,1,3,1,1,3,2,4,2,2,3,4,5,3,2,5,0.0,0.0,1.0,0.0,51.0,1
0,2,3,4,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3,3,0.0,0.0,0.0,1.0,51.0,0
0,3,3,2,2,2,3,2,2,3,4,3,3,5,4,4,3,3,3,4,0.0,0.0,0.0,1.0,59.0,1
0,4,3,4,2,4,3,3,4,4,4,4,4,5,5,4,3,4,5,5,1.0,0.0,0.0,0.0,75.0,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0,1.0,0.0,0.0,59.0,0
0,5,4,4,2,4,4,3,3,3,5,4,4,5,4,4,5,5,5,5,0.0,1.0,0.0,0.0,79.0,2
1,3,2,1,1,2,2,1,1,1,4,3,4,4,5,3,3,1,1,3,0.0,1.0,0.0,0.0,47.0,0
0,4,2,3,3,4,4,3,3,3,4,4,3,3,3,4,5,3,3,4,1.0,0.0,0.0,0.0,66.0,2
0,3,3,1,2,2,2,1,1,1,3,3,3,4,4,3,3,2,1,2,0.0,1.0,0.0,0.0,45.0,0
0,2,2,4,1,1,1,2,4,3,5,4,4,2,3,4,3,3,3,4,0.0,1.0,0.0,0.0,56.0,0
1,4,4,5,2,5,5,2,4,4,2,4,4,5,4,4,3,4,4,4,1.0,0.0,0.0,0.0,75.0,1
0,2,3,3,3,4,2,2,3,3,5,5,3,4,4,3,4,3,4,4,0.0,0.0,1.0,0.0,65.0,0
1,4,2,2,2,4,2,2,2,2,4,4,4,4,5,4,4,4,4,4,0.0,1.0,0.0,0.0,65.0,2
0,3,3,2,2,3,3,2,2,3,3,2,3,2,1,3,4,2,2,4,0.0,0.0,0.0,1.0,50.0,1
0,4,2,4,4,4,4,1,4,3,4,4,4,2,2,5,4,2,3,5,1.0,0.0,0.0,0.0,66.0,2
1,5,5,3,3,4,4,2,3,4,4,4,3,5,5,4,4,4,4,4,1.0,0.0,0.0,0.0,76.0,1
0,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,3,4,0.0,0.0,0.0,1.0,72.0,1
0,3,3,2,2,2,1,1,2,2,2,4,4,1,1,4,5,3,4,4,0.0,0.0,0.0,1.0,51.0,2
0,4,2,1,5,3,2,1,1,1,5,5,4,5,5,4,3,5,4,5,0.0,1.0,0.0,0.0,66.0,0
0,3,3,4,3,4,3,2,3,3,4,4,4,3,4,3,4,3,4,4,0.0,1.0,0.0,0.0,66.0,0
0,2,3,4,2,2,1,3,4,4,4,3,4,4,5,3,2,2,5,5,0.0,0.0,1.0,0.0,63.0,0
1,4,2,2,2,2,3,3,2,2,2,2,2,5,5,4,2,3,2,4,0.0,0.0,0.0,1.0,55.0,1
0,4,4,5,4,5,4,5,4,4,3,5,4,4,5,4,5,5,4,5,0.0,0.0,1.0,0.0,84.0,1
1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,1.0,0.0,0.0,0.0,63.0,1
0,4,3,3,2,4,5,3,4,3,4,4,3,4,4,4,3,3,4,4,1.0,0.0,0.0,0.0,69.0,2
1,3,3,3,4,4,3,2,3,2,4,4,4,4,4,4,3,4,3,4,0.0,1.0,0.0,0.0,67.0,2
1,4,2,2,2,3,3,2,3,3,2,4,4,2,3,3,4,3,4,5,0.0,1.0,0.0,0.0,60.0,0
